season,week,game_id,away_team,home_team,prior_weight,away_prior_rating,home_prior_rating,away_current_rating,home_current_rating,away_rating_used,home_rating_used,rating_diff,rating_scale,hfa,model_margin,model_spread,market_margin,model_edge,abs_edge,actual_margin,ats_result
2017,1,2017_01_NYJ_BUF,NYJ,BUF,1.0,-6.832037977487841,1.2439222714346765,,,-6.832037977487841,1.2439222714346765,8.075960248922517,0.516,1.744,5.911195488444019,-5.911195488444019,7.0,-1.0888045115559812,1.0888045115559812,9.0,L
2017,1,2017_01_OAK_TEN,LV,TEN,1.0,1.104895642251697,-2.1348041244029723,,,1.104895642251697,-2.1348041244029723,-3.2396997666546694,0.516,1.744,0.07231492040619059,-0.07231492040619059,2.5,-2.427685079593809,2.427685079593809,-10.0,W
2017,1,2017_01_PHI_WAS,PHI,WAS,1.0,3.52300831706942,2.7703535864878903,,,3.52300831706942,2.7703535864878903,-0.7526547305815297,0.516,1.744,1.3556301590199307,-1.3556301590199307,-2.0,3.3556301590199307,3.3556301590199307,-13.0,L
2017,1,2017_01_PIT_CLE,PIT,CLE,1.0,4.165402395011343,-11.368691544406342,,,4.165402395011343,-11.368691544406342,-15.534093939417685,0.516,1.744,-6.271592472739526,6.271592472739526,-10.0,3.728407527260474,3.728407527260474,-3.0,W
2017,1,2017_01_SEA_GB,SEA,GB,1.0,2.64445545344617,4.257321718516817,,,2.64445545344617,4.257321718516817,1.6128662650706467,0.516,1.744,2.576238992776454,-2.576238992776454,2.5,0.07623899277645396,0.07623899277645396,8.0,W
2017,2,2017_02_ARI_IND,ARI,IND,0.9,3.5195201120534896,-3.536703620022965,-7.389446624254537,-40.86188690089343,2.428623438422687,-7.269221948110011,-9.697845386532698,0.516,1.744,-3.260088219450873,3.260088219450873,-7.0,3.739911780549127,3.739911780549127,-3.0,W
2017,2,2017_02_BUF_CAR,BUF,CAR,0.9,1.2439222714346765,-2.2538285634071737,15.5556776837275,22.55403146268876,2.6750978126639584,0.22695743920241895,-2.4481403734615395,0.516,1.744,0.4807595672938456,-0.4807595672938456,6.5,-6.019240432706154,6.019240432706154,6.0,W
2017,2,2017_02_CHI_TB,CHI,TB,0.9,-6.384326361065821,0.6962031317816928,-13.333632834654821,0.6962031317816928,-7.079257008424721,0.6962031317816928,7.775460140206413,0.516,1.744,5.7561374323465095,-5.7561374323465095,7.0,-1.2438625676534905,1.2438625676534905,22.0,L
2017,2,2017_02_CLE_BAL,CLE,BAL,0.9,-11.368691544406342,-0.5052461156434789,-5.165716145370498,27.991613383076817,-10.748394004502758,2.34443983422855,13.092833838731309,0.516,1.744,8.499902260785356,-8.499902260785356,7.5,0.9999022607853565,0.9999022607853565,14.0,W
2017,2,2017_02_DAL_DEN,DAL,DEN,0.9,8.168928163248408,4.800621292185527,13.698382034639815,3.852423898764731,8.721873550387548,4.705801552843448,-4.0160719975441,0.516,1.744,-0.3282931507327558,0.3282931507327558,-2.5,2.1717068492672444,2.1717068492672444,25.0,W
2017,2,2017_02_DET_NYG,DET,NYG,0.9,-3.830480717793204,1.560479379599001,7.389446624254539,-13.698382034639815,-2.70848798358843,0.034593238175119945,2.74308122176355,0.516,1.744,3.1594299104299917,-3.1594299104299917,3.0,0.15942991042999166,0.15942991042999166,-14.0,L
2017,2,2017_02_GB_ATL,GB,ATL,0.9,4.257321718516817,8.081830331574057,14.305431666494712,13.333632834654821,5.262132713314606,8.607010581882134,3.3448778685675284,0.516,1.744,3.4699569801808448,-3.4699569801808448,3.5,-0.030043019819155248,0.030043019819155248,11.0,L
